School,City,County/State/Country,App_All,App_Female,App_Male,App_Other,App_Unknown,Adm_All,Adm_Female,Adm_Male,Adm_Other,Adm_Unknown,Enr_All,Enr_Female,Enr_Male,Enr_Other,Enr_Unknown,Acceptance_All,Yield_All,Acceptance_Other,Yield_Other,Acceptance_Unknown,Yield_Unknown,Acceptance_Male,Yield_Male,Acceptance_Female,Yield_Female
METWEST HIGH SCHOOL,Oakland,Alameda,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAYWARD HIGH SCHOOL,Hayward,Alameda,23.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA SCIENCE & TECHNICAL INST,Alameda,Alameda,38.0,17.0,18.0,0.0,0.0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUBLIN HIGH SCHOOL,Dublin,Alameda,430.0,207.0,197.0,9.0,17.0,34.0,14.0,18.0,0,0,17.0,7.0,10.0,0,0,0.07906976744186046,0.5,0.0,0.0,0.0,0.0,0.09137055837563451,0.5555555555555556,0.06763285024154589,0.5
WASHINGTON HIGH SCHOOL,Fremont,Alameda,139.0,67.0,67.0,0.0,0.0,14.0,5.0,9.0,0,0,6.0,3.0,3.0,0,0,0.10071942446043165,0.42857142857142855,0.0,0.0,0.0,0.0,0.13432835820895522,0.3333333333333333,0.07462686567164178,0.6
MOUNT EDEN HIGH SCHOOL,Hayward,Alameda,53.0,27.0,25.0,0.0,0.0,4.0,0.0,3.0,0,0,4.0,0.0,3.0,0,0,0.07547169811320754,1.0,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0
ALAMEDA HIGH SCHOOL,Alameda,Alameda,158.0,74.0,81.0,0.0,0.0,14.0,8.0,6.0,0,0,10.0,7.0,3.0,0,0,0.08860759493670886,0.7142857142857143,0.0,0.0,0.0,0.0,0.07407407407407407,0.5,0.10810810810810811,0.875
ENCINAL HIGH SCHOOL,Alameda,Alameda,60.0,30.0,26.0,0.0,0.0,5.0,3.0,0.0,0,0,3.0,0.0,0.0,0,0,0.08333333333333333,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
LIGHTHOUSE COMMUNITY CHAR HS,Oakland,Alameda,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN HIGH SCHOOL,Fremont,Alameda,351.0,172.0,155.0,0.0,0.0,35.0,13.0,21.0,0,0,18.0,7.0,11.0,0,0,0.09971509971509972,0.5142857142857142,0.0,0.0,0.0,0.0,0.13548387096774195,0.5238095238095238,0.0755813953488372,0.5384615384615384
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILLENNIUM HIGH SCHOOL,Piedmont,Alameda,18.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,34.0,15.0,18.0,0.0,0.0,3.0,3.0,0.0,0,0,0.0,0.0,0.0,0,0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
